date,symbol,price
2018-06-01,TSLA,58.38
2018-07-01,TSLA,67.0
2018-08-01,TSLA,60.16
2018-09-01,TSLA,57.78
2018-10-01,TSLA,62.12
2018-11-01,TSLA,68.9
2018-12-01,TSLA,71.7
2019-01-01,TSLA,62.03
2019-02-01,TSLA,62.44
2019-03-01,TSLA,58.97
2019-04-01,TSLA,57.84
2019-05-01,TSLA,46.8
2019-06-01,TSLA,35.78
2019-07-01,TSLA,45.44
2019-08-01,TSLA,46.78
2019-09-01,TSLA,45.0
2019-10-01,TSLA,48.94
2019-11-01,TSLA,62.66
2019-12-01,TSLA,67.0
2020-01-01,TSLA,86.06
2020-02-01,TSLA,156.0
2020-03-01,TSLA,148.8
2020-04-01,TSLA,96.3
2020-05-01,TSLA,140.2
2020-06-01,TSLA,179.6
2020-07-01,TSLA,223.9
2020-08-01,TSLA,297.0
2020-09-01,TSLA,475.0
2020-10-01,TSLA,448.2
2020-11-01,TSLA,400.5
2020-12-01,TSLA,585.0
2021-01-01,TSLA,730.0
2021-02-01,TSLA,840.0
2021-03-01,TSLA,718.5
2021-04-01,TSLA,662.0
2021-05-01,TSLA,685.0
2021-06-01,TSLA,624.0
2021-07-01,TSLA,678.0
2021-08-01,TSLA,709.5
2021-09-01,TSLA,734.0
2021-10-01,TSLA,775.0
